%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!START OF THE EXPERIMENT!
DATASET DIR PATH: /home/nkanak/Desktop/phd/experiments/GraphOfDocs/GraphOfDocs/data/20news-18828-all/
MIN NUMBER OF DOCUMENTS PER SELECTED COMMUNITY: 2
VARIANCE THRESHOLD: [0.0005, 0.001, 0.0015, 0.002, 0.003, 0.004, 0.005, 0.01]
SELECT KBEST K: [1000, 2000, 3000, 5000, 10000, 15000, 20000, 25000, 30000]
TOP N SELECTED COMMUNITY TERMS: [5, 10, 15, 20, 25, 50, 100, 250, 500]
Number of selected documents: 11610 
EXAMPLE OF THE PANDAS DATAFRAME
                 identifier  ...                                               text
11876      rec.autos_102735  ...  rdb1 cbnewsj att ronald deblock changing oil s...
17000  comp.windows.x_68077  ...  boutilie rtsg mot eric boutilier looking windo...

[2 rows x 4 columns]
Number of unique classes: 20
EXAMPLE OF THE EVALUATION RESULTS PANDAS DATAFRAME
   Method  Accuracy  Number of features  ...  variance thershold  kbest top_n
0  BOW+NB    0.9361               62384  ...                 NaN    NaN   NaN
1  BOW+LR    0.9387               62384  ...                 NaN    NaN   NaN

[2 rows x 9 columns]
+--------------------------+----------+--------------------+------------+-----------+--------------------------------+
|          Method          | Accuracy | Number of features | Train size | Test size |            Details             |
|      TOPN+NN100x50       |  0.9134  |        2926        |    7778    |    3832   |         {'top_n': 10}          |
|        LVAR+LSVM         |  0.9113  |        8787        |    7778    |    3832   | {'variance thershold': 0.004}  |
|         LVAR+NB          |  0.9108  |        7651        |    7778    |    3832   | {'variance thershold': 0.005}  |
|        LVAR+LSVM         |  0.9094  |        7651        |    7778    |    3832   | {'variance thershold': 0.005}  |
|         KBEST+LR         |  0.9084  |        5000        |    7778    |    3832   |        {'kbest': 5000}         |
|         LVAR+LR          |  0.9076  |        4880        |    7778    |    3832   |  {'variance thershold': 0.01}  |
|         TOPN+NB          |  0.9058  |        5096        |    7778    |    3832   |         {'top_n': 15}          |
|        TOPN+LSVM         |  0.9045  |        5096        |    7778    |    3832   |         {'top_n': 15}          |
|     KBEST+NN500x250      |  0.9014  |        3000        |    7778    |    3832   |        {'kbest': 3000}         |
|         TOPN+LR          |  0.9006  |        2926        |    7778    |    3832   |         {'top_n': 10}          |
|         KBEST+NB         |  0.9001  |        5000        |    7778    |    3832   |        {'kbest': 5000}         |
|         LVAR+NB          |  0.8977  |        4880        |    7778    |    3832   |  {'variance thershold': 0.01}  |
|      KBEST+NN100x50      |  0.8948  |        3000        |    7778    |    3832   |        {'kbest': 3000}         |
|         KBEST+LR         |  0.8935  |        3000        |    7778    |    3832   |        {'kbest': 3000}         |
|        KBEST+LSVM        |  0.8922  |        5000        |    7778    |    3832   |        {'kbest': 5000}         |
|        LVAR+LSVM         |  0.8883  |        4880        |    7778    |    3832   |  {'variance thershold': 0.01}  |
|         TOPN+NB          |  0.8854  |        2926        |    7778    |    3832   |         {'top_n': 10}          |
|     KBEST+NN500x250      |  0.8847  |        2000        |    7778    |    3832   |        {'kbest': 2000}         |
|         KBEST+LR         |  0.8805  |        2000        |    7778    |    3832   |        {'kbest': 2000}         |
|        TOPN+LSVM         |  0.8802  |        2926        |    7778    |    3832   |         {'top_n': 10}          |
|      KBEST+NN100x50      |  0.8779  |        2000        |    7778    |    3832   |        {'kbest': 2000}         |
|        KBEST+LSVM        |  0.8758  |        3000        |    7778    |    3832   |        {'kbest': 3000}         |
|         KBEST+NB         |  0.8706  |        3000        |    7778    |    3832   |        {'kbest': 3000}         |
|        KBEST+LSVM        |  0.8638  |        2000        |    7778    |    3832   |        {'kbest': 2000}         |
|     KBEST+NN500x250      |  0.858   |        1000        |    7778    |    3832   |        {'kbest': 1000}         |
|         KBEST+NB         |  0.852   |        2000        |    7778    |    3832   |        {'kbest': 2000}         |
|      TOPN+NN500x250      |  0.8463  |        982         |    7778    |    3832   |          {'top_n': 5}          |
|        KBEST+LSVM        |  0.8419  |        1000        |    7778    |    3832   |        {'kbest': 1000}         |
|         KBEST+LR         |  0.8411  |        1000        |    7778    |    3832   |        {'kbest': 1000}         |
|      KBEST+NN100x50      |  0.8398  |        1000        |    7778    |    3832   |        {'kbest': 1000}         |
|      TOPN+NN100x50       |  0.8233  |        982         |    7778    |    3832   |          {'top_n': 5}          |
|         TOPN+LR          |  0.8233  |        982         |    7778    |    3832   |          {'top_n': 5}          |
|         KBEST+NB         |  0.8142  |        1000        |    7778    |    3832   |        {'kbest': 1000}         |
|         TOPN+NB          |  0.7996  |        982         |    7778    |    3832   |          {'top_n': 5}          |
|        TOPN+LSVM         |  0.7871  |        982         |    7778    |    3832   |          {'top_n': 5}          |
|        TOPN+1KNN         |  0.7756  |       10149        |    7778    |    3832   |         {'top_n': 25}          |
|        TOPN+1KNN         |  0.7735  |        2926        |    7778    |    3832   |         {'top_n': 10}          |
|        TOPN+1KNN         |  0.7717  |       20942        |    7778    |    3832   |         {'top_n': 50}          |
|        TOPN+1KNN         |  0.7706  |        5096        |    7778    |    3832   |         {'top_n': 15}          |
|        TOPN+1KNN         |  0.7704  |        7548        |    7778    |    3832   |         {'top_n': 20}          |
|         TOPN+2NN         |  0.7701  |       10149        |    7778    |    3832   |         {'top_n': 25}          |
|         TOPN+2NN         |  0.7667  |        2926        |    7778    |    3832   |         {'top_n': 10}          |
|         TOPN+2NN         |  0.7664  |        7548        |    7778    |    3832   |         {'top_n': 20}          |
|         TOPN+2NN         |  0.7654  |        5096        |    7778    |    3832   |         {'top_n': 15}          |
|        TOPN+1KNN         |  0.7649  |       30793        |    7778    |    3832   |         {'top_n': 100}         |
|         TOPN+2NN         |  0.7644  |       20942        |    7778    |    3832   |         {'top_n': 50}          |
|        META+1KNN         |  0.7638  |       14907        |    7778    |    3832   |               {}               |
|        TOPN+1KNN         |  0.763   |       37281        |    7778    |    3832   |         {'top_n': 250}         |
|        TOPN+1KNN         |  0.7625  |       39694        |    7778    |    3832   |         {'top_n': 500}         |
|        KBEST+1KNN        |  0.7615  |        3000        |    7778    |    3832   |        {'kbest': 3000}         |
|         META+2NN         |  0.7607  |       14907        |    7778    |    3832   |               {}               |
|         BOW+1KNN         |  0.7597  |       62384        |    7778    |    3832   |               {}               |
|        KBEST+1KNN        |  0.7576  |        2000        |    7778    |    3832   |        {'kbest': 2000}         |
|        KBEST+2NN         |  0.757   |        3000        |    7778    |    3832   |        {'kbest': 3000}         |
|         TOPN+2NN         |  0.7568  |       30793        |    7778    |    3832   |         {'top_n': 100}         |
|        KBEST+2NN         |  0.7565  |        5000        |    7778    |    3832   |        {'kbest': 5000}         |
|        KBEST+2NN         |  0.7557  |        2000        |    7778    |    3832   |        {'kbest': 2000}         |
|        KBEST+1KNN        |  0.7557  |        5000        |    7778    |    3832   |        {'kbest': 5000}         |
|         BOW+2NN          |  0.7557  |       62384        |    7778    |    3832   |               {}               |
|         TOPN+2NN         |  0.755   |       37281        |    7778    |    3832   |         {'top_n': 250}         |
|         TOPN+2NN         |  0.7547  |       39694        |    7778    |    3832   |         {'top_n': 500}         |
|        KBEST+2NN         |  0.7544  |       25000        |    7778    |    3832   |        {'kbest': 25000}        |
|        KBEST+2NN         |  0.7544  |       20000        |    7778    |    3832   |        {'kbest': 20000}        |
|        KBEST+1KNN        |  0.7537  |       20000        |    7778    |    3832   |        {'kbest': 20000}        |
|        KBEST+1KNN        |  0.7537  |       10000        |    7778    |    3832   |        {'kbest': 10000}        |
|         LVAR+2NN         |  0.7526  |       29992        |    7778    |    3832   | {'variance thershold': 0.0005} |
|        KBEST+2NN         |  0.7521  |       30000        |    7778    |    3832   |        {'kbest': 30000}        |
|        KBEST+2NN         |  0.7516  |       10000        |    7778    |    3832   |        {'kbest': 10000}        |
|        KBEST+1KNN        |  0.7516  |       25000        |    7778    |    3832   |        {'kbest': 25000}        |
|        KBEST+2NN         |  0.7505  |       15000        |    7778    |    3832   |        {'kbest': 15000}        |
|         LVAR+2NN         |  0.7484  |        4880        |    7778    |    3832   |  {'variance thershold': 0.01}  |
|        LVAR+1KNN         |  0.7479  |       10469        |    7778    |    3832   | {'variance thershold': 0.003}  |
|        LVAR+1KNN         |  0.7477  |        8787        |    7778    |    3832   | {'variance thershold': 0.004}  |
