,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
170,TOPN+5NN,0.6986,5096,7778,3832,5NN,,,15.0
171,TOPN+2NN,0.7654,5096,7778,3832,2NN,,,15.0
172,TOPN+1KNN,0.7706,5096,7778,3832,1KNN,,,15.0
173,TOPN+LSVM,0.9045,5096,7778,3832,LSVM,,,15.0
174,TOPN+NN100x50,0.9314,5096,7778,3832,NN100x50,,,15.0
175,TOPN+NN500x250,0.9337,5096,7778,3832,NN500x250,,,15.0
176,TOPN+NB,0.9196,7548,7778,3832,NB,,,20.0
177,TOPN+LR,0.9269,7548,7778,3832,LR,,,20.0
178,TOPN+5NN,0.7059,7548,7778,3832,5NN,,,20.0
179,TOPN+2NN,0.7664,7548,7778,3832,2NN,,,20.0
180,TOPN+1KNN,0.7704,7548,7778,3832,1KNN,,,20.0
181,TOPN+LSVM,0.917,7548,7778,3832,LSVM,,,20.0
182,TOPN+NN100x50,0.9434,7548,7778,3832,NN100x50,,,20.0
183,TOPN+NN500x250,0.9468,7548,7778,3832,NN500x250,,,20.0
184,TOPN+NB,0.9269,10149,7778,3832,NB,,,25.0
185,TOPN+LR,0.9311,10149,7778,3832,LR,,,25.0
186,TOPN+5NN,0.7171,10149,7778,3832,5NN,,,25.0
187,TOPN+2NN,0.7701,10149,7778,3832,2NN,,,25.0
188,TOPN+1KNN,0.7756,10149,7778,3832,1KNN,,,25.0
189,TOPN+LSVM,0.9277,10149,7778,3832,LSVM,,,25.0
190,TOPN+NN100x50,0.947,10149,7778,3832,NN100x50,,,25.0
191,TOPN+NN500x250,0.9528,10149,7778,3832,NN500x250,,,25.0
192,TOPN+NB,0.9421,20942,7778,3832,NB,,,50.0
193,TOPN+LR,0.9384,20942,7778,3832,LR,,,50.0
194,TOPN+5NN,0.7192,20942,7778,3832,5NN,,,50.0
195,TOPN+2NN,0.7644,20942,7778,3832,2NN,,,50.0
196,TOPN+1KNN,0.7717,20942,7778,3832,1KNN,,,50.0
197,TOPN+LSVM,0.9379,20942,7778,3832,LSVM,,,50.0
198,TOPN+NN100x50,0.9554,20942,7778,3832,NN100x50,,,50.0
199,TOPN+NN500x250,0.9509,20942,7778,3832,NN500x250,,,50.0
200,TOPN+NB,0.9402,30793,7778,3832,NB,,,100.0
201,TOPN+LR,0.9402,30793,7778,3832,LR,,,100.0
202,TOPN+5NN,0.6934,30793,7778,3832,5NN,,,100.0
203,TOPN+2NN,0.7568,30793,7778,3832,2NN,,,100.0
204,TOPN+1KNN,0.7649,30793,7778,3832,1KNN,,,100.0
205,TOPN+LSVM,0.9384,30793,7778,3832,LSVM,,,100.0
206,TOPN+NN100x50,0.9575,30793,7778,3832,NN100x50,,,100.0
207,TOPN+NN500x250,0.9603,30793,7778,3832,NN500x250,,,100.0
208,TOPN+NB,0.9415,37281,7778,3832,NB,,,250.0
209,TOPN+LR,0.9402,37281,7778,3832,LR,,,250.0
210,TOPN+5NN,0.6908,37281,7778,3832,5NN,,,250.0
211,TOPN+2NN,0.755,37281,7778,3832,2NN,,,250.0
212,TOPN+1KNN,0.763,37281,7778,3832,1KNN,,,250.0
213,TOPN+LSVM,0.9392,37281,7778,3832,LSVM,,,250.0
214,TOPN+NN100x50,0.9551,37281,7778,3832,NN100x50,,,250.0
215,TOPN+NN500x250,0.9616,37281,7778,3832,NN500x250,,,250.0
216,TOPN+NB,0.9397,39694,7778,3832,NB,,,500.0
217,TOPN+LR,0.94,39694,7778,3832,LR,,,500.0
218,TOPN+5NN,0.6895,39694,7778,3832,5NN,,,500.0
219,TOPN+2NN,0.7547,39694,7778,3832,2NN,,,500.0
220,TOPN+1KNN,0.7625,39694,7778,3832,1KNN,,,500.0
221,TOPN+LSVM,0.9392,39694,7778,3832,LSVM,,,500.0
222,TOPN+NN100x50,0.9572,39694,7778,3832,NN100x50,,,500.0
223,TOPN+NN500x250,0.9577,39694,7778,3832,NN500x250,,,500.0
