,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
137,TOPN+1KNN,0.9852,120,546,270,1KNN,,,5.0
138,TOPN+LSVM,0.9963,120,546,270,LSVM,,,5.0
139,TOPN+NN100x50,0.9963,120,546,270,NN100x50,,,5.0
140,TOPN+NB,0.9778,296,546,270,NB,,,10.0
141,TOPN+LR,1.0,296,546,270,LR,,,10.0
142,TOPN+5NN,0.9704,296,546,270,5NN,,,10.0
143,TOPN+2NN,0.9556,296,546,270,2NN,,,10.0
144,TOPN+1KNN,0.9593,296,546,270,1KNN,,,10.0
145,TOPN+LSVM,0.9963,296,546,270,LSVM,,,10.0
146,TOPN+NN100x50,0.9926,296,546,270,NN100x50,,,10.0
147,TOPN+NB,0.9815,526,546,270,NB,,,15.0
148,TOPN+LR,1.0,526,546,270,LR,,,15.0
149,TOPN+5NN,0.9481,526,546,270,5NN,,,15.0
150,TOPN+2NN,0.9667,526,546,270,2NN,,,15.0
151,TOPN+1KNN,0.9667,526,546,270,1KNN,,,15.0
152,TOPN+LSVM,0.9963,526,546,270,LSVM,,,15.0
153,TOPN+NN100x50,0.9926,526,546,270,NN100x50,,,15.0
154,TOPN+NB,0.9778,758,546,270,NB,,,20.0
155,TOPN+LR,1.0,758,546,270,LR,,,20.0
156,TOPN+5NN,0.9407,758,546,270,5NN,,,20.0
157,TOPN+2NN,0.9519,758,546,270,2NN,,,20.0
158,TOPN+1KNN,0.9519,758,546,270,1KNN,,,20.0
159,TOPN+LSVM,0.9963,758,546,270,LSVM,,,20.0
160,TOPN+NN100x50,1.0,758,546,270,NN100x50,,,20.0
161,TOPN+NB,0.9778,995,546,270,NB,,,25.0
162,TOPN+LR,1.0,995,546,270,LR,,,25.0
163,TOPN+5NN,0.9259,995,546,270,5NN,,,25.0
164,TOPN+2NN,0.9519,995,546,270,2NN,,,25.0
165,TOPN+1KNN,0.9519,995,546,270,1KNN,,,25.0
166,TOPN+LSVM,0.9963,995,546,270,LSVM,,,25.0
167,TOPN+NN100x50,1.0,995,546,270,NN100x50,,,25.0
168,TOPN+NB,0.9963,2274,546,270,NB,,,50.0
169,TOPN+LR,1.0,2274,546,270,LR,,,50.0
170,TOPN+5NN,0.8926,2274,546,270,5NN,,,50.0
171,TOPN+2NN,0.9333,2274,546,270,2NN,,,50.0
172,TOPN+1KNN,0.9333,2274,546,270,1KNN,,,50.0
173,TOPN+LSVM,0.9963,2274,546,270,LSVM,,,50.0
174,TOPN+NN100x50,1.0,2274,546,270,NN100x50,,,50.0
175,TOPN+NB,0.9963,4443,546,270,NB,,,100.0
176,TOPN+LR,1.0,4443,546,270,LR,,,100.0
177,TOPN+5NN,0.8778,4443,546,270,5NN,,,100.0
178,TOPN+2NN,0.9333,4443,546,270,2NN,,,100.0
179,TOPN+1KNN,0.9333,4443,546,270,1KNN,,,100.0
180,TOPN+LSVM,0.9963,4443,546,270,LSVM,,,100.0
181,TOPN+NN100x50,0.9963,4443,546,270,NN100x50,,,100.0
182,TOPN+NB,0.9963,8975,546,270,NB,,,250.0
183,TOPN+LR,1.0,8975,546,270,LR,,,250.0
184,TOPN+5NN,0.8481,8975,546,270,5NN,,,250.0
185,TOPN+2NN,0.9259,8975,546,270,2NN,,,250.0
186,TOPN+1KNN,0.9259,8975,546,270,1KNN,,,250.0
187,TOPN+LSVM,0.9963,8975,546,270,LSVM,,,250.0
188,TOPN+NN100x50,1.0,8975,546,270,NN100x50,,,250.0
189,TOPN+NB,0.9963,12104,546,270,NB,,,500.0
190,TOPN+LR,1.0,12104,546,270,LR,,,500.0
191,TOPN+5NN,0.8407,12104,546,270,5NN,,,500.0
192,TOPN+2NN,0.9259,12104,546,270,2NN,,,500.0
193,TOPN+1KNN,0.9259,12104,546,270,1KNN,,,500.0
194,TOPN+LSVM,0.9963,12104,546,270,LSVM,,,500.0
195,TOPN+NN100x50,0.9963,12104,546,270,NN100x50,,,500.0
