,Method,Accuracy,Number of features,Train size,Test size,Classifier,variance thershold,kbest,top_n
121,KBEST+5NN,0.6494,6000,623,308,5NN,,6000.0,
122,KBEST+2NN,0.6494,6000,623,308,2NN,,6000.0,
123,KBEST+1KNN,0.6558,6000,623,308,1KNN,,6000.0,
124,KBEST+LSVM,0.763,6000,623,308,LSVM,,6000.0,
125,KBEST+NN100x50,0.724,6000,623,308,NN100x50,,6000.0,
126,KBEST+NB,0.7305,7000,623,308,NB,,7000.0,
127,KBEST+LR,0.7597,7000,623,308,LR,,7000.0,
128,KBEST+5NN,0.6818,7000,623,308,5NN,,7000.0,
129,KBEST+2NN,0.6883,7000,623,308,2NN,,7000.0,
130,KBEST+1KNN,0.6786,7000,623,308,1KNN,,7000.0,
131,KBEST+LSVM,0.7403,7000,623,308,LSVM,,7000.0,
132,KBEST+NN100x50,0.7305,7000,623,308,NN100x50,,7000.0,
133,TOPN+NB,0.7013,372,623,308,NB,,,5.0
134,TOPN+LR,0.6818,372,623,308,LR,,,5.0
135,TOPN+5NN,0.6688,372,623,308,5NN,,,5.0
136,TOPN+2NN,0.6883,372,623,308,2NN,,,5.0
137,TOPN+1KNN,0.6883,372,623,308,1KNN,,,5.0
138,TOPN+LSVM,0.6591,372,623,308,LSVM,,,5.0
139,TOPN+NN100x50,0.7013,372,623,308,NN100x50,,,5.0
140,TOPN+NB,0.6786,1065,623,308,NB,,,10.0
141,TOPN+LR,0.7565,1065,623,308,LR,,,10.0
142,TOPN+5NN,0.6786,1065,623,308,5NN,,,10.0
143,TOPN+2NN,0.6981,1065,623,308,2NN,,,10.0
144,TOPN+1KNN,0.711,1065,623,308,1KNN,,,10.0
145,TOPN+LSVM,0.737,1065,623,308,LSVM,,,10.0
146,TOPN+NN100x50,0.737,1065,623,308,NN100x50,,,10.0
147,TOPN+NB,0.6948,1557,623,308,NB,,,15.0
148,TOPN+LR,0.7565,1557,623,308,LR,,,15.0
149,TOPN+5NN,0.6688,1557,623,308,5NN,,,15.0
150,TOPN+2NN,0.6818,1557,623,308,2NN,,,15.0
151,TOPN+1KNN,0.6851,1557,623,308,1KNN,,,15.0
152,TOPN+LSVM,0.737,1557,623,308,LSVM,,,15.0
153,TOPN+NN100x50,0.7305,1557,623,308,NN100x50,,,15.0
154,TOPN+NB,0.7273,1940,623,308,NB,,,20.0
155,TOPN+LR,0.7662,1940,623,308,LR,,,20.0
156,TOPN+5NN,0.6331,1940,623,308,5NN,,,20.0
157,TOPN+2NN,0.6688,1940,623,308,2NN,,,20.0
158,TOPN+1KNN,0.6786,1940,623,308,1KNN,,,20.0
159,TOPN+LSVM,0.7532,1940,623,308,LSVM,,,20.0
160,TOPN+NN100x50,0.7403,1940,623,308,NN100x50,,,20.0
161,TOPN+NB,0.7208,2372,623,308,NB,,,25.0
162,TOPN+LR,0.7565,2372,623,308,LR,,,25.0
163,TOPN+5NN,0.6299,2372,623,308,5NN,,,25.0
164,TOPN+2NN,0.6526,2372,623,308,2NN,,,25.0
165,TOPN+1KNN,0.6623,2372,623,308,1KNN,,,25.0
166,TOPN+LSVM,0.7565,2372,623,308,LSVM,,,25.0
167,TOPN+NN100x50,0.7305,2372,623,308,NN100x50,,,25.0
168,TOPN+NB,0.7208,4897,623,308,NB,,,50.0
169,TOPN+LR,0.776,4897,623,308,LR,,,50.0
170,TOPN+5NN,0.6461,4897,623,308,5NN,,,50.0
171,TOPN+2NN,0.6753,4897,623,308,2NN,,,50.0
172,TOPN+1KNN,0.6851,4897,623,308,1KNN,,,50.0
173,TOPN+LSVM,0.763,4897,623,308,LSVM,,,50.0
174,TOPN+NN100x50,0.7045,4897,623,308,NN100x50,,,50.0
175,TOPN+NB,0.7208,5777,623,308,NB,,,100.0
176,TOPN+LR,0.7662,5777,623,308,LR,,,100.0
177,TOPN+5NN,0.6364,5777,623,308,5NN,,,100.0
178,TOPN+2NN,0.6753,5777,623,308,2NN,,,100.0
179,TOPN+1KNN,0.6883,5777,623,308,1KNN,,,100.0
180,TOPN+LSVM,0.7403,5777,623,308,LSVM,,,100.0
181,TOPN+NN100x50,0.7143,5777,623,308,NN100x50,,,100.0
182,TOPN+NB,0.7175,6692,623,308,NB,,,250.0
183,TOPN+LR,0.7695,6692,623,308,LR,,,250.0
184,TOPN+5NN,0.6396,6692,623,308,5NN,,,250.0
185,TOPN+2NN,0.6591,6692,623,308,2NN,,,250.0
186,TOPN+1KNN,0.6656,6692,623,308,1KNN,,,250.0
187,TOPN+LSVM,0.7435,6692,623,308,LSVM,,,250.0
188,TOPN+NN100x50,0.7078,6692,623,308,NN100x50,,,250.0
189,TOPN+NB,0.7208,7005,623,308,NB,,,500.0
190,TOPN+LR,0.7662,7005,623,308,LR,,,500.0
191,TOPN+5NN,0.6299,7005,623,308,5NN,,,500.0
192,TOPN+2NN,0.6591,7005,623,308,2NN,,,500.0
193,TOPN+1KNN,0.6656,7005,623,308,1KNN,,,500.0
194,TOPN+LSVM,0.7403,7005,623,308,LSVM,,,500.0
195,TOPN+NN100x50,0.7175,7005,623,308,NN100x50,,,500.0
